lesson_number,domain_id,domain,service_group,microservice_id,microservice_name,team_id,db_cluster_count,db_clusters,database_name,schema_name,owned_table_count,owned_tables,full_cdc_table_count,excluded_cdc_table_count,backend_module_path,api_base_path,docker_profile,deployment_unit,frontend_integration,implementation_status
211,2,customer,customer-platform,svc-0011,customer-01,team-002,10,pg-cluster-101|pg-cluster-102|pg-cluster-103|pg-cluster-104|pg-cluster-105|pg-cluster-106|pg-cluster-107|pg-cluster-108|pg-cluster-109|pg-cluster-110,customer_svc_01,customer,10,customer_svc_01.customer.account_customer|customer_svc_01.customer.address_customer|customer_svc_01.customer.event_customer|customer_svc_01.customer.history_customer|customer_svc_01.customer.mapping_customer|customer_svc_01.customer.preference_customer|customer_svc_01.customer.profile_customer|customer_svc_01.customer.rule_customer|customer_svc_01.customer.session_customer|customer_svc_01.customer.status_customer,7,3,applications/backend/services/customer/customer-01,/api/v1/customer/01,domain-customer,customer-01,DOMAIN_POLICY_PENDING,PLANNED
212,2,customer,customer-platform,svc-0012,customer-02,team-002,10,pg-cluster-111|pg-cluster-112|pg-cluster-113|pg-cluster-114|pg-cluster-115|pg-cluster-116|pg-cluster-117|pg-cluster-118|pg-cluster-119|pg-cluster-120,customer_svc_02,customer,10,customer_svc_02.customer.allocation_customer|customer_svc_02.customer.attempt_customer|customer_svc_02.customer.detail_customer|customer_svc_02.customer.item_customer|customer_svc_02.customer.movement_customer|customer_svc_02.customer.request_customer|customer_svc_02.customer.reservation_customer|customer_svc_02.customer.response_customer|customer_svc_02.customer.snapshot_customer|customer_svc_02.customer.transaction_customer,7,3,applications/backend/services/customer/customer-02,/api/v1/customer/02,domain-customer,customer-02,DOMAIN_POLICY_PENDING,PLANNED
213,2,customer,customer-platform,svc-0013,customer-03,team-002,10,pg-cluster-121|pg-cluster-122|pg-cluster-123|pg-cluster-124|pg-cluster-125|pg-cluster-126|pg-cluster-127|pg-cluster-128|pg-cluster-129|pg-cluster-130,customer_svc_03,customer,10,customer_svc_03.customer.adjustment_customer|customer_svc_03.customer.campaign_customer|customer_svc_03.customer.configuration_customer|customer_svc_03.customer.document_customer|customer_svc_03.customer.metric_customer|customer_svc_03.customer.offer_customer|customer_svc_03.customer.policy_customer|customer_svc_03.customer.redemption_customer|customer_svc_03.customer.score_customer|customer_svc_03.customer.segment_customer,6,4,applications/backend/services/customer/customer-03,/api/v1/customer/03,domain-customer,customer-03,DOMAIN_POLICY_PENDING,PLANNED
214,2,customer,customer-platform,svc-0014,customer-04,team-002,10,pg-cluster-131|pg-cluster-132|pg-cluster-133|pg-cluster-134|pg-cluster-135|pg-cluster-136|pg-cluster-137|pg-cluster-138|pg-cluster-139|pg-cluster-140,customer_svc_04,customer,10,customer_svc_04.customer.balance_customer|customer_svc_04.customer.batch_customer|customer_svc_04.customer.checkpoint_customer|customer_svc_04.customer.exception_customer|customer_svc_04.customer.invoice_customer|customer_svc_04.customer.job_customer|customer_svc_04.customer.ledger_customer|customer_svc_04.customer.line_customer|customer_svc_04.customer.run_customer|customer_svc_04.customer.task_customer,7,3,applications/backend/services/customer/customer-04,/api/v1/customer/04,domain-customer,customer-04,DOMAIN_POLICY_PENDING,PLANNED
215,2,customer,customer-platform,svc-0015,customer-05,team-002,10,pg-cluster-141|pg-cluster-142|pg-cluster-143|pg-cluster-144|pg-cluster-145|pg-cluster-146|pg-cluster-147|pg-cluster-148|pg-cluster-149|pg-cluster-150,customer_svc_05,customer,10,customer_svc_05.customer.alert_customer|customer_svc_05.customer.approval_customer|customer_svc_05.customer.assignment_customer|customer_svc_05.customer.availability_customer|customer_svc_05.customer.capacity_customer|customer_svc_05.customer.case_customer|customer_svc_05.customer.decision_customer|customer_svc_05.customer.forecast_customer|customer_svc_05.customer.schedule_customer|customer_svc_05.customer.workflow_customer,7,3,applications/backend/services/customer/customer-05,/api/v1/customer/05,domain-customer,customer-05,DOMAIN_POLICY_PENDING,PLANNED
216,2,customer,customer-platform,svc-0016,customer-06,team-002,10,pg-cluster-151|pg-cluster-152|pg-cluster-153|pg-cluster-154|pg-cluster-155|pg-cluster-156|pg-cluster-157|pg-cluster-158|pg-cluster-159|pg-cluster-160,customer_svc_06,customer,10,customer_svc_06.customer.attribute_customer|customer_svc_06.customer.category_customer|customer_svc_06.customer.collection_customer|customer_svc_06.customer.media_customer|customer_svc_06.customer.plan_customer|customer_svc_06.customer.ranking_customer|customer_svc_06.customer.relationship_customer|customer_svc_06.customer.target_customer|customer_svc_06.customer.threshold_customer|customer_svc_06.customer.variant_customer,6,4,applications/backend/services/customer/customer-06,/api/v1/customer/06,domain-customer,customer-06,DOMAIN_POLICY_PENDING,PLANNED
217,2,customer,customer-platform,svc-0017,customer-07,team-002,10,pg-cluster-161|pg-cluster-162|pg-cluster-163|pg-cluster-164|pg-cluster-165|pg-cluster-166|pg-cluster-167|pg-cluster-168|pg-cluster-169|pg-cluster-170,customer_svc_07,customer,10,customer_svc_07.customer.attribution_customer|customer_svc_07.customer.channel_customer|customer_svc_07.customer.click_customer|customer_svc_07.customer.conversion_customer|customer_svc_07.customer.delivery_customer|customer_svc_07.customer.impression_customer|customer_svc_07.customer.message_customer|customer_svc_07.customer.query_customer|customer_svc_07.customer.result_customer|customer_svc_07.customer.template_customer,7,3,applications/backend/services/customer/customer-07,/api/v1/customer/07,domain-customer,customer-07,DOMAIN_POLICY_PENDING,PLANNED
218,2,customer,customer-platform,svc-0018,customer-08,team-002,10,pg-cluster-171|pg-cluster-172|pg-cluster-173|pg-cluster-174|pg-cluster-175|pg-cluster-176|pg-cluster-177|pg-cluster-178|pg-cluster-179|pg-cluster-180,customer_svc_08,customer,10,customer_svc_08.customer.contract_customer|customer_svc_08.customer.fee_customer|customer_svc_08.customer.partner_customer|customer_svc_08.customer.payout_customer|customer_svc_08.customer.price_customer|customer_svc_08.customer.provider_customer|customer_svc_08.customer.rate_customer|customer_svc_08.customer.reconciliation_customer|customer_svc_08.customer.settlement_customer|customer_svc_08.customer.tax_customer,7,3,applications/backend/services/customer/customer-08,/api/v1/customer/08,domain-customer,customer-08,DOMAIN_POLICY_PENDING,PLANNED
219,2,customer,customer-platform,svc-0019,customer-09,team-002,10,pg-cluster-181|pg-cluster-182|pg-cluster-183|pg-cluster-184|pg-cluster-185|pg-cluster-186|pg-cluster-187|pg-cluster-188|pg-cluster-189|pg-cluster-190,customer_svc_09,customer,10,customer_svc_09.customer.bin_customer|customer_svc_09.customer.package_customer|customer_svc_09.customer.refund_customer|customer_svc_09.customer.return_customer|customer_svc_09.customer.route_customer|customer_svc_09.customer.shipment_customer|customer_svc_09.customer.stock_customer|customer_svc_09.customer.stop_customer|customer_svc_09.customer.tracking_customer|customer_svc_09.customer.warehouse_customer,6,4,applications/backend/services/customer/customer-09,/api/v1/customer/09,domain-customer,customer-09,DOMAIN_POLICY_PENDING,PLANNED
220,2,customer,customer-platform,svc-0020,customer-10,team-002,10,pg-cluster-191|pg-cluster-192|pg-cluster-193|pg-cluster-194|pg-cluster-195|pg-cluster-196|pg-cluster-197|pg-cluster-198|pg-cluster-199|pg-cluster-200,customer_svc_10,customer,10,customer_svc_10.customer.consent_customer|customer_svc_10.customer.device_customer|customer_svc_10.customer.feedback_customer|customer_svc_10.customer.location_customer|customer_svc_10.customer.owner_customer|customer_svc_10.customer.permission_customer|customer_svc_10.customer.rating_customer|customer_svc_10.customer.review_customer|customer_svc_10.customer.role_customer|customer_svc_10.customer.token_customer,7,3,applications/backend/services/customer/customer-10,/api/v1/customer/10,domain-customer,customer-10,DOMAIN_POLICY_PENDING,PLANNED
221,3,catalog,catalog-platform,svc-0021,catalog-01,team-003,10,pg-cluster-201|pg-cluster-202|pg-cluster-203|pg-cluster-204|pg-cluster-205|pg-cluster-206|pg-cluster-207|pg-cluster-208|pg-cluster-209|pg-cluster-210,catalog_svc_01,catalog,10,catalog_svc_01.catalog.account_catalog|catalog_svc_01.catalog.address_catalog|catalog_svc_01.catalog.event_catalog|catalog_svc_01.catalog.history_catalog|catalog_svc_01.catalog.mapping_catalog|catalog_svc_01.catalog.preference_catalog|catalog_svc_01.catalog.profile_catalog|catalog_svc_01.catalog.rule_catalog|catalog_svc_01.catalog.session_catalog|catalog_svc_01.catalog.status_catalog,10,0,applications/backend/services/catalog/catalog-01,/api/v1/catalog/01,domain-catalog,catalog-01,DOMAIN_POLICY_PENDING,PLANNED
222,3,catalog,catalog-platform,svc-0022,catalog-02,team-003,10,pg-cluster-211|pg-cluster-212|pg-cluster-213|pg-cluster-214|pg-cluster-215|pg-cluster-216|pg-cluster-217|pg-cluster-218|pg-cluster-219|pg-cluster-220,catalog_svc_02,catalog,10,catalog_svc_02.catalog.allocation_catalog|catalog_svc_02.catalog.attempt_catalog|catalog_svc_02.catalog.detail_catalog|catalog_svc_02.catalog.item_catalog|catalog_svc_02.catalog.movement_catalog|catalog_svc_02.catalog.request_catalog|catalog_svc_02.catalog.reservation_catalog|catalog_svc_02.catalog.response_catalog|catalog_svc_02.catalog.snapshot_catalog|catalog_svc_02.catalog.transaction_catalog,10,0,applications/backend/services/catalog/catalog-02,/api/v1/catalog/02,domain-catalog,catalog-02,DOMAIN_POLICY_PENDING,PLANNED
223,3,catalog,catalog-platform,svc-0023,catalog-03,team-003,10,pg-cluster-221|pg-cluster-222|pg-cluster-223|pg-cluster-224|pg-cluster-225|pg-cluster-226|pg-cluster-227|pg-cluster-228|pg-cluster-229|pg-cluster-230,catalog_svc_03,catalog,10,catalog_svc_03.catalog.adjustment_catalog|catalog_svc_03.catalog.campaign_catalog|catalog_svc_03.catalog.configuration_catalog|catalog_svc_03.catalog.document_catalog|catalog_svc_03.catalog.metric_catalog|catalog_svc_03.catalog.offer_catalog|catalog_svc_03.catalog.policy_catalog|catalog_svc_03.catalog.redemption_catalog|catalog_svc_03.catalog.score_catalog|catalog_svc_03.catalog.segment_catalog,10,0,applications/backend/services/catalog/catalog-03,/api/v1/catalog/03,domain-catalog,catalog-03,DOMAIN_POLICY_PENDING,PLANNED
224,3,catalog,catalog-platform,svc-0024,catalog-04,team-003,10,pg-cluster-231|pg-cluster-232|pg-cluster-233|pg-cluster-234|pg-cluster-235|pg-cluster-236|pg-cluster-237|pg-cluster-238|pg-cluster-239|pg-cluster-240,catalog_svc_04,catalog,10,catalog_svc_04.catalog.balance_catalog|catalog_svc_04.catalog.batch_catalog|catalog_svc_04.catalog.checkpoint_catalog|catalog_svc_04.catalog.exception_catalog|catalog_svc_04.catalog.invoice_catalog|catalog_svc_04.catalog.job_catalog|catalog_svc_04.catalog.ledger_catalog|catalog_svc_04.catalog.line_catalog|catalog_svc_04.catalog.run_catalog|catalog_svc_04.catalog.task_catalog,10,0,applications/backend/services/catalog/catalog-04,/api/v1/catalog/04,domain-catalog,catalog-04,DOMAIN_POLICY_PENDING,PLANNED
225,3,catalog,catalog-platform,svc-0025,catalog-05,team-003,10,pg-cluster-241|pg-cluster-242|pg-cluster-243|pg-cluster-244|pg-cluster-245|pg-cluster-246|pg-cluster-247|pg-cluster-248|pg-cluster-249|pg-cluster-250,catalog_svc_05,catalog,10,catalog_svc_05.catalog.alert_catalog|catalog_svc_05.catalog.approval_catalog|catalog_svc_05.catalog.assignment_catalog|catalog_svc_05.catalog.availability_catalog|catalog_svc_05.catalog.capacity_catalog|catalog_svc_05.catalog.case_catalog|catalog_svc_05.catalog.decision_catalog|catalog_svc_05.catalog.forecast_catalog|catalog_svc_05.catalog.schedule_catalog|catalog_svc_05.catalog.workflow_catalog,10,0,applications/backend/services/catalog/catalog-05,/api/v1/catalog/05,domain-catalog,catalog-05,DOMAIN_POLICY_PENDING,PLANNED
226,3,catalog,catalog-platform,svc-0026,catalog-06,team-003,10,pg-cluster-251|pg-cluster-252|pg-cluster-253|pg-cluster-254|pg-cluster-255|pg-cluster-256|pg-cluster-257|pg-cluster-258|pg-cluster-259|pg-cluster-260,catalog_svc_06,catalog,10,catalog_svc_06.catalog.attribute_catalog|catalog_svc_06.catalog.category_catalog|catalog_svc_06.catalog.collection_catalog|catalog_svc_06.catalog.media_catalog|catalog_svc_06.catalog.plan_catalog|catalog_svc_06.catalog.ranking_catalog|catalog_svc_06.catalog.relationship_catalog|catalog_svc_06.catalog.target_catalog|catalog_svc_06.catalog.threshold_catalog|catalog_svc_06.catalog.variant_catalog,10,0,applications/backend/services/catalog/catalog-06,/api/v1/catalog/06,domain-catalog,catalog-06,DOMAIN_POLICY_PENDING,PLANNED
227,3,catalog,catalog-platform,svc-0027,catalog-07,team-003,10,pg-cluster-261|pg-cluster-262|pg-cluster-263|pg-cluster-264|pg-cluster-265|pg-cluster-266|pg-cluster-267|pg-cluster-268|pg-cluster-269|pg-cluster-270,catalog_svc_07,catalog,10,catalog_svc_07.catalog.attribution_catalog|catalog_svc_07.catalog.channel_catalog|catalog_svc_07.catalog.click_catalog|catalog_svc_07.catalog.conversion_catalog|catalog_svc_07.catalog.delivery_catalog|catalog_svc_07.catalog.impression_catalog|catalog_svc_07.catalog.message_catalog|catalog_svc_07.catalog.query_catalog|catalog_svc_07.catalog.result_catalog|catalog_svc_07.catalog.template_catalog,10,0,applications/backend/services/catalog/catalog-07,/api/v1/catalog/07,domain-catalog,catalog-07,DOMAIN_POLICY_PENDING,PLANNED
228,3,catalog,catalog-platform,svc-0028,catalog-08,team-003,10,pg-cluster-271|pg-cluster-272|pg-cluster-273|pg-cluster-274|pg-cluster-275|pg-cluster-276|pg-cluster-277|pg-cluster-278|pg-cluster-279|pg-cluster-280,catalog_svc_08,catalog,10,catalog_svc_08.catalog.contract_catalog|catalog_svc_08.catalog.fee_catalog|catalog_svc_08.catalog.partner_catalog|catalog_svc_08.catalog.payout_catalog|catalog_svc_08.catalog.price_catalog|catalog_svc_08.catalog.provider_catalog|catalog_svc_08.catalog.rate_catalog|catalog_svc_08.catalog.reconciliation_catalog|catalog_svc_08.catalog.settlement_catalog|catalog_svc_08.catalog.tax_catalog,10,0,applications/backend/services/catalog/catalog-08,/api/v1/catalog/08,domain-catalog,catalog-08,DOMAIN_POLICY_PENDING,PLANNED
229,3,catalog,catalog-platform,svc-0029,catalog-09,team-003,10,pg-cluster-281|pg-cluster-282|pg-cluster-283|pg-cluster-284|pg-cluster-285|pg-cluster-286|pg-cluster-287|pg-cluster-288|pg-cluster-289|pg-cluster-290,catalog_svc_09,catalog,10,catalog_svc_09.catalog.bin_catalog|catalog_svc_09.catalog.package_catalog|catalog_svc_09.catalog.refund_catalog|catalog_svc_09.catalog.return_catalog|catalog_svc_09.catalog.route_catalog|catalog_svc_09.catalog.shipment_catalog|catalog_svc_09.catalog.stock_catalog|catalog_svc_09.catalog.stop_catalog|catalog_svc_09.catalog.tracking_catalog|catalog_svc_09.catalog.warehouse_catalog,10,0,applications/backend/services/catalog/catalog-09,/api/v1/catalog/09,domain-catalog,catalog-09,DOMAIN_POLICY_PENDING,PLANNED
230,3,catalog,catalog-platform,svc-0030,catalog-10,team-003,10,pg-cluster-291|pg-cluster-292|pg-cluster-293|pg-cluster-294|pg-cluster-295|pg-cluster-296|pg-cluster-297|pg-cluster-298|pg-cluster-299|pg-cluster-300,catalog_svc_10,catalog,10,catalog_svc_10.catalog.consent_catalog|catalog_svc_10.catalog.device_catalog|catalog_svc_10.catalog.feedback_catalog|catalog_svc_10.catalog.location_catalog|catalog_svc_10.catalog.owner_catalog|catalog_svc_10.catalog.permission_catalog|catalog_svc_10.catalog.rating_catalog|catalog_svc_10.catalog.review_catalog|catalog_svc_10.catalog.role_catalog|catalog_svc_10.catalog.token_catalog,10,0,applications/backend/services/catalog/catalog-10,/api/v1/catalog/10,domain-catalog,catalog-10,DOMAIN_POLICY_PENDING,PLANNED
231,4,product,product-platform,svc-0031,product-01,team-004,10,pg-cluster-301|pg-cluster-302|pg-cluster-303|pg-cluster-304|pg-cluster-305|pg-cluster-306|pg-cluster-307|pg-cluster-308|pg-cluster-309|pg-cluster-310,product_svc_01,product,10,product_svc_01.product.account_product|product_svc_01.product.address_product|product_svc_01.product.event_product|product_svc_01.product.history_product|product_svc_01.product.mapping_product|product_svc_01.product.preference_product|product_svc_01.product.profile_product|product_svc_01.product.rule_product|product_svc_01.product.session_product|product_svc_01.product.status_product,10,0,applications/backend/services/product/product-01,/api/v1/product/01,domain-product,product-01,DOMAIN_POLICY_PENDING,PLANNED
232,4,product,product-platform,svc-0032,product-02,team-004,10,pg-cluster-311|pg-cluster-312|pg-cluster-313|pg-cluster-314|pg-cluster-315|pg-cluster-316|pg-cluster-317|pg-cluster-318|pg-cluster-319|pg-cluster-320,product_svc_02,product,10,product_svc_02.product.allocation_product|product_svc_02.product.attempt_product|product_svc_02.product.detail_product|product_svc_02.product.item_product|product_svc_02.product.movement_product|product_svc_02.product.request_product|product_svc_02.product.reservation_product|product_svc_02.product.response_product|product_svc_02.product.snapshot_product|product_svc_02.product.transaction_product,10,0,applications/backend/services/product/product-02,/api/v1/product/02,domain-product,product-02,DOMAIN_POLICY_PENDING,PLANNED
233,4,product,product-platform,svc-0033,product-03,team-004,10,pg-cluster-321|pg-cluster-322|pg-cluster-323|pg-cluster-324|pg-cluster-325|pg-cluster-326|pg-cluster-327|pg-cluster-328|pg-cluster-329|pg-cluster-330,product_svc_03,product,10,product_svc_03.product.adjustment_product|product_svc_03.product.campaign_product|product_svc_03.product.configuration_product|product_svc_03.product.document_product|product_svc_03.product.metric_product|product_svc_03.product.offer_product|product_svc_03.product.policy_product|product_svc_03.product.redemption_product|product_svc_03.product.score_product|product_svc_03.product.segment_product,10,0,applications/backend/services/product/product-03,/api/v1/product/03,domain-product,product-03,DOMAIN_POLICY_PENDING,PLANNED
234,4,product,product-platform,svc-0034,product-04,team-004,10,pg-cluster-331|pg-cluster-332|pg-cluster-333|pg-cluster-334|pg-cluster-335|pg-cluster-336|pg-cluster-337|pg-cluster-338|pg-cluster-339|pg-cluster-340,product_svc_04,product,10,product_svc_04.product.balance_product|product_svc_04.product.batch_product|product_svc_04.product.checkpoint_product|product_svc_04.product.exception_product|product_svc_04.product.invoice_product|product_svc_04.product.job_product|product_svc_04.product.ledger_product|product_svc_04.product.line_product|product_svc_04.product.run_product|product_svc_04.product.task_product,10,0,applications/backend/services/product/product-04,/api/v1/product/04,domain-product,product-04,DOMAIN_POLICY_PENDING,PLANNED
235,4,product,product-platform,svc-0035,product-05,team-004,10,pg-cluster-341|pg-cluster-342|pg-cluster-343|pg-cluster-344|pg-cluster-345|pg-cluster-346|pg-cluster-347|pg-cluster-348|pg-cluster-349|pg-cluster-350,product_svc_05,product,10,product_svc_05.product.alert_product|product_svc_05.product.approval_product|product_svc_05.product.assignment_product|product_svc_05.product.availability_product|product_svc_05.product.capacity_product|product_svc_05.product.case_product|product_svc_05.product.decision_product|product_svc_05.product.forecast_product|product_svc_05.product.schedule_product|product_svc_05.product.workflow_product,10,0,applications/backend/services/product/product-05,/api/v1/product/05,domain-product,product-05,DOMAIN_POLICY_PENDING,PLANNED
236,4,product,product-platform,svc-0036,product-06,team-004,10,pg-cluster-351|pg-cluster-352|pg-cluster-353|pg-cluster-354|pg-cluster-355|pg-cluster-356|pg-cluster-357|pg-cluster-358|pg-cluster-359|pg-cluster-360,product_svc_06,product,10,product_svc_06.product.attribute_product|product_svc_06.product.category_product|product_svc_06.product.collection_product|product_svc_06.product.media_product|product_svc_06.product.plan_product|product_svc_06.product.ranking_product|product_svc_06.product.relationship_product|product_svc_06.product.target_product|product_svc_06.product.threshold_product|product_svc_06.product.variant_product,10,0,applications/backend/services/product/product-06,/api/v1/product/06,domain-product,product-06,DOMAIN_POLICY_PENDING,PLANNED
