relationship_id,source_domain,source_service,source_cluster,source_database,source_schema,source_table,source_key,target_domain,target_service,target_cluster,target_database,target_schema,target_table,target_key,relationship_type,cardinality,cross_cluster,consistency_model,sync_method,source_of_truth,event_topic,on_missing_reference,join_strategy,description
rel-000017,customer,customer-02,pg-cluster-113,customer_svc_02,customer,snapshot_customer,snapshot_id,identity,identity-08,pg-cluster-077,identity_svc_08,identity,tax_identity,tax_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.tax_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000018,customer,customer-02,pg-cluster-120,customer_svc_02,customer,movement_customer,movement_id,identity,identity-09,pg-cluster-088,identity_svc_09,identity,stock_identity,stock_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.stock_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000019,customer,customer-03,pg-cluster-127,customer_svc_03,customer,segment_customer,segment_id,identity,identity-10,pg-cluster-099,identity_svc_10,identity,location_identity,location_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.location_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000020,customer,customer-04,pg-cluster-134,customer_svc_04,customer,line_customer,line_id,identity,identity-01,pg-cluster-010,identity_svc_01,identity,mapping_identity,mapping_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,identity,fk.pg.relation.identity.mapping_identity,retry_then_dlq,application_or_lakehouse_join,customer logically references identity; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000021,customer,customer-01,pg-cluster-101,customer_svc_01,customer,account_customer,account_id,geo,geo-01,pg-cluster-401,geo_svc_01,geo,account_geo,account_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.account_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000022,customer,customer-01,pg-cluster-108,customer_svc_01,customer,status_customer,status_id,geo,geo-02,pg-cluster-412,geo_svc_02,geo,detail_geo,detail_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.detail_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000023,customer,customer-02,pg-cluster-115,customer_svc_02,customer,request_customer,request_id,geo,geo-03,pg-cluster-423,geo_svc_03,geo,policy_geo,policy_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.policy_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000024,customer,customer-03,pg-cluster-122,customer_svc_03,customer,configuration_customer,configuration_id,geo,geo-04,pg-cluster-434,geo_svc_04,geo,line_geo,line_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.line_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000025,customer,customer-03,pg-cluster-129,customer_svc_03,customer,offer_customer,offer_id,geo,geo-05,pg-cluster-445,geo_svc_05,geo,approval_geo,approval_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.approval_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000026,customer,customer-04,pg-cluster-136,customer_svc_04,customer,job_customer,job_id,geo,geo-06,pg-cluster-456,geo_svc_06,geo,variant_geo,variant_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.variant_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000027,customer,customer-05,pg-cluster-143,customer_svc_05,customer,decision_customer,decision_id,geo,geo-07,pg-cluster-467,geo_svc_07,geo,channel_geo,channel_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.channel_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000028,customer,customer-05,pg-cluster-150,customer_svc_05,customer,forecast_customer,forecast_id,geo,geo-08,pg-cluster-478,geo_svc_08,geo,settlement_geo,settlement_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.settlement_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000029,customer,customer-06,pg-cluster-157,customer_svc_06,customer,media_customer,media_id,geo,geo-09,pg-cluster-489,geo_svc_09,geo,return_geo,return_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.return_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000030,customer,customer-07,pg-cluster-164,customer_svc_07,customer,impression_customer,impression_id,geo,geo-10,pg-cluster-500,geo_svc_10,geo,owner_geo,owner_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.owner_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000031,customer,customer-08,pg-cluster-171,customer_svc_08,customer,provider_customer,provider_id,geo,geo-02,pg-cluster-411,geo_svc_02,geo,item_geo,item_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.item_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000032,customer,customer-08,pg-cluster-178,customer_svc_08,customer,settlement_customer,settlement_id,geo,geo-03,pg-cluster-422,geo_svc_03,geo,configuration_geo,configuration_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.configuration_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000033,customer,customer-09,pg-cluster-185,customer_svc_09,customer,stop_customer,stop_id,geo,geo-04,pg-cluster-433,geo_svc_04,geo,invoice_geo,invoice_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.invoice_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000034,customer,customer-10,pg-cluster-192,customer_svc_10,customer,rating_customer,rating_id,geo,geo-05,pg-cluster-444,geo_svc_05,geo,workflow_geo,workflow_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.workflow_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000035,customer,customer-10,pg-cluster-199,customer_svc_10,customer,location_customer,location_id,geo,geo-06,pg-cluster-455,geo_svc_06,geo,attribute_geo,attribute_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.attribute_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000036,customer,customer-01,pg-cluster-106,customer_svc_01,customer,event_customer,event_id,geo,geo-07,pg-cluster-466,geo_svc_07,geo,attribution_geo,attribution_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.attribution_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000037,customer,customer-02,pg-cluster-113,customer_svc_02,customer,snapshot_customer,snapshot_id,geo,geo-08,pg-cluster-477,geo_svc_08,geo,tax_geo,tax_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.tax_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000038,customer,customer-02,pg-cluster-120,customer_svc_02,customer,movement_customer,movement_id,geo,geo-09,pg-cluster-488,geo_svc_09,geo,stock_geo,stock_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.stock_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000039,customer,customer-03,pg-cluster-127,customer_svc_03,customer,segment_customer,segment_id,geo,geo-10,pg-cluster-499,geo_svc_10,geo,location_geo,location_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.location_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000040,customer,customer-04,pg-cluster-134,customer_svc_04,customer,line_customer,line_id,geo,geo-01,pg-cluster-410,geo_svc_01,geo,mapping_geo,mapping_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,geo,fk.pg.relation.geo.mapping_geo,retry_then_dlq,application_or_lakehouse_join,customer logically references geo; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000041,customer,customer-01,pg-cluster-101,customer_svc_01,customer,account_customer,account_id,loyalty,loyalty-01,pg-cluster-701,loyalty_svc_01,loyalty,account_loyalty,account_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.account_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000042,customer,customer-01,pg-cluster-108,customer_svc_01,customer,status_customer,status_id,loyalty,loyalty-02,pg-cluster-712,loyalty_svc_02,loyalty,detail_loyalty,detail_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.detail_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000043,customer,customer-02,pg-cluster-115,customer_svc_02,customer,request_customer,request_id,loyalty,loyalty-03,pg-cluster-723,loyalty_svc_03,loyalty,policy_loyalty,policy_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.policy_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000044,customer,customer-03,pg-cluster-122,customer_svc_03,customer,configuration_customer,configuration_id,loyalty,loyalty-04,pg-cluster-734,loyalty_svc_04,loyalty,line_loyalty,line_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.line_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000045,customer,customer-03,pg-cluster-129,customer_svc_03,customer,offer_customer,offer_id,loyalty,loyalty-05,pg-cluster-745,loyalty_svc_05,loyalty,approval_loyalty,approval_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.approval_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000046,customer,customer-04,pg-cluster-136,customer_svc_04,customer,job_customer,job_id,loyalty,loyalty-06,pg-cluster-756,loyalty_svc_06,loyalty,variant_loyalty,variant_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.variant_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000047,customer,customer-05,pg-cluster-143,customer_svc_05,customer,decision_customer,decision_id,loyalty,loyalty-07,pg-cluster-767,loyalty_svc_07,loyalty,channel_loyalty,channel_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.channel_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000048,customer,customer-05,pg-cluster-150,customer_svc_05,customer,forecast_customer,forecast_id,loyalty,loyalty-08,pg-cluster-778,loyalty_svc_08,loyalty,settlement_loyalty,settlement_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.settlement_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000049,customer,customer-06,pg-cluster-157,customer_svc_06,customer,media_customer,media_id,loyalty,loyalty-09,pg-cluster-789,loyalty_svc_09,loyalty,return_loyalty,return_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.return_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000050,customer,customer-07,pg-cluster-164,customer_svc_07,customer,impression_customer,impression_id,loyalty,loyalty-10,pg-cluster-800,loyalty_svc_10,loyalty,owner_loyalty,owner_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.owner_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000051,customer,customer-08,pg-cluster-171,customer_svc_08,customer,provider_customer,provider_id,loyalty,loyalty-02,pg-cluster-711,loyalty_svc_02,loyalty,item_loyalty,item_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.item_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000052,customer,customer-08,pg-cluster-178,customer_svc_08,customer,settlement_customer,settlement_id,loyalty,loyalty-03,pg-cluster-722,loyalty_svc_03,loyalty,configuration_loyalty,configuration_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.configuration_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000053,customer,customer-09,pg-cluster-185,customer_svc_09,customer,stop_customer,stop_id,loyalty,loyalty-04,pg-cluster-733,loyalty_svc_04,loyalty,invoice_loyalty,invoice_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.invoice_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000054,customer,customer-10,pg-cluster-192,customer_svc_10,customer,rating_customer,rating_id,loyalty,loyalty-05,pg-cluster-744,loyalty_svc_05,loyalty,workflow_loyalty,workflow_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.workflow_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000055,customer,customer-10,pg-cluster-199,customer_svc_10,customer,location_customer,location_id,loyalty,loyalty-06,pg-cluster-755,loyalty_svc_06,loyalty,attribute_loyalty,attribute_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.attribute_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000056,customer,customer-01,pg-cluster-106,customer_svc_01,customer,event_customer,event_id,loyalty,loyalty-07,pg-cluster-766,loyalty_svc_07,loyalty,attribution_loyalty,attribution_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.attribution_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000057,customer,customer-02,pg-cluster-113,customer_svc_02,customer,snapshot_customer,snapshot_id,loyalty,loyalty-08,pg-cluster-777,loyalty_svc_08,loyalty,tax_loyalty,tax_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.tax_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000058,customer,customer-02,pg-cluster-120,customer_svc_02,customer,movement_customer,movement_id,loyalty,loyalty-09,pg-cluster-788,loyalty_svc_09,loyalty,stock_loyalty,stock_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.stock_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000059,customer,customer-03,pg-cluster-127,customer_svc_03,customer,segment_customer,segment_id,loyalty,loyalty-10,pg-cluster-799,loyalty_svc_10,loyalty,location_loyalty,location_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.location_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000060,customer,customer-04,pg-cluster-134,customer_svc_04,customer,line_customer,line_id,loyalty,loyalty-01,pg-cluster-710,loyalty_svc_01,loyalty,mapping_loyalty,mapping_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,loyalty,fk.pg.relation.loyalty.mapping_loyalty,retry_then_dlq,application_or_lakehouse_join,customer logically references loyalty; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000061,catalog,catalog-01,pg-cluster-201,catalog_svc_01,catalog,account_catalog,account_id,product,product-01,pg-cluster-301,product_svc_01,product,account_product,account_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,product,fk.pg.relation.product.account_product,retry_then_dlq,application_or_lakehouse_join,catalog logically references product; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000062,catalog,catalog-01,pg-cluster-208,catalog_svc_01,catalog,status_catalog,status_id,product,product-02,pg-cluster-312,product_svc_02,product,detail_product,detail_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,product,fk.pg.relation.product.detail_product,retry_then_dlq,application_or_lakehouse_join,catalog logically references product; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000063,catalog,catalog-02,pg-cluster-215,catalog_svc_02,catalog,request_catalog,request_id,product,product-03,pg-cluster-323,product_svc_03,product,policy_product,policy_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,product,fk.pg.relation.product.policy_product,retry_then_dlq,application_or_lakehouse_join,catalog logically references product; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
rel-000064,catalog,catalog-03,pg-cluster-222,catalog_svc_03,catalog,configuration_catalog,configuration_id,product,product-04,pg-cluster-334,product_svc_04,product,line_product,line_id,LOGICAL_REFERENCE,many-to-one,Y,eventual,Debezium CDC + Kafka event,product,fk.pg.relation.product.line_product,retry_then_dlq,application_or_lakehouse_join,catalog logically references product; cross-cluster links use stable IDs and events rather than PostgreSQL cross-database FKs.
